2024-12-10 16:11:47,015 - INFO - Check if cuda is available: True
2024-12-10 16:11:59,331 - INFO - Dataset loaded
2024-12-10 16:11:59,912 - INFO - Tokenization completed
2024-12-10 16:12:02,074 - INFO - Training started
2024-12-10 16:12:41,084 - INFO - Epoch 1, Total Loss: 1838.8982
2024-12-10 16:12:41,228 - INFO - Epoch 1, Total Loss: 1845.4718
2024-12-10 16:12:41,372 - INFO - Epoch 1, Total Loss: 1852.0268
2024-12-10 16:12:41,525 - INFO - Epoch 1, Total Loss: 1858.5539
2024-12-10 16:12:41,684 - INFO - Epoch 1, Total Loss: 1865.1571
2024-12-10 16:12:41,832 - INFO - Epoch 1, Total Loss: 1871.6756
2024-12-10 16:12:41,983 - INFO - Epoch 1, Total Loss: 1878.1772
2024-12-10 16:12:42,144 - INFO - Epoch 1, Total Loss: 1884.7101
2024-12-10 16:12:42,295 - INFO - Epoch 1, Total Loss: 1891.2894
2024-12-10 16:12:42,449 - INFO - Epoch 1, Total Loss: 1897.8372
2024-12-10 16:12:42,608 - INFO - Epoch 1, Total Loss: 1904.3592
2024-12-10 16:12:42,757 - INFO - Epoch 1, Total Loss: 1910.8911
2024-12-10 16:12:42,909 - INFO - Epoch 1, Total Loss: 1917.4117
2024-12-10 16:12:43,066 - INFO - Epoch 1, Total Loss: 1923.9390
2024-12-10 16:12:43,216 - INFO - Epoch 1, Total Loss: 1930.4653
2024-12-10 16:12:43,367 - INFO - Epoch 1, Total Loss: 1936.9907
2024-12-10 16:12:43,522 - INFO - Epoch 1, Total Loss: 1943.5433
2024-12-10 16:12:43,676 - INFO - Epoch 1, Total Loss: 1950.0742
2024-12-10 16:12:43,830 - INFO - Epoch 1, Total Loss: 1956.6116
2024-12-10 16:12:43,983 - INFO - Epoch 1, Total Loss: 1963.1009
2024-12-10 16:12:44,131 - INFO - Epoch 1, Total Loss: 1969.5968
2024-12-10 16:12:44,282 - INFO - Epoch 1, Total Loss: 1976.0952
2024-12-10 16:12:44,440 - INFO - Epoch 1, Total Loss: 1982.5790
2024-12-10 16:12:44,588 - INFO - Epoch 1, Total Loss: 1989.0799
2024-12-10 16:12:44,728 - INFO - Epoch 1, Total Loss: 1995.5965
2024-12-10 16:12:44,880 - INFO - Epoch 1, Total Loss: 2002.0956
2024-12-10 16:12:45,030 - INFO - Epoch 1, Total Loss: 2008.6347
2024-12-10 16:12:45,175 - INFO - Epoch 1, Total Loss: 2015.1357
